$,$,$
Luigi,7023,19
Luigi,6365,39
Luigi,5336,10
Luigi,7162,1
Luigi,313,31
Luigi,6434,71
Luigi,6889,1
Luigi,2167,100
Luigi,5850,1
Luigi,2670,5
Luigi,6717,1
Luigi,5800,59
Luigi,6271,1
Luigi,6398,21
Luigi,6202,1
Luigi,6956,8
Luigi,4409,16
Luigi,7143,1
Luigi,4502,2
Luigi,4159,15
Luigi,2816,35
Luigi,6217,4
Luigi,218,1
Luigi,5876,39
Luigi,4360,1
$,$,$
Let's Go,479,1
Let's Go,7252,1
Let's Go,6552,1
Let's Go,6226,148
Let's Go,5734,41
Let's Go,4463,25
Let's Go,6875,81
Let's Go,7133,1
Let's Go,5761,26
Let's Go,2766,8
Let's Go,5318,12
Let's Go,6722,10
Let's Go,6844,9
Let's Go,5687,20
Let's Go,7181,25
Let's Go,4887,32
Let's Go,5739,1
Let's Go,7068,1
Let's Go,6832,6
Let's Go,6869,7
Let's Go,513,8
Let's Go,322,1
Let's Go,2814,26
Let's Go,6417,1
Let's Go,6482,8
$,$,$
Fragola,608,4
Fragola,4728,4
Fragola,6215,36
Fragola,6646,2
Fragola,6052,91
Fragola,6207,1
Fragola,5792,27
Fragola,6629,4
Fragola,6908,12
Fragola,7132,3
Fragola,2423,90
Fragola,7126,2
Fragola,4973,2
Fragola,5998,2
Fragola,4401,1
Fragola,252,5
Fragola,4461,1
Fragola,770,1
Fragola,5851,3
Fragola,6066,1
Fragola,4807,1
Fragola,6495,7
Fragola,6641,3
Fragola,6966,5
Fragola,761,1
$,$,$
Spugna,7008,199
Spugna,5672,10
Spugna,7120,3
Spugna,647,18
Spugna,6435,86
Spugna,531,46
Spugna,5561,1
Spugna,6684,3
Spugna,5453,1
Spugna,2529,3
Spugna,4896,10
Spugna,6151,2
Spugna,2765,15
Spugna,779,2
Spugna,5427,1
Spugna,5532,1
Spugna,697,7
Spugna,5840,19
Spugna,6664,4
Spugna,6230,1
Spugna,554,15
Spugna,6046,10
Spugna,6462,3
Spugna,6842,2
Spugna,188,10
$,$,$
Nicholas,785,1
Nicholas,2097,228
Nicholas,2155,1
Nicholas,4923,1
Nicholas,7017,1
Nicholas,309,51
Nicholas,5858,1
Nicholas,5791,1
Nicholas,1933,1
Nicholas,5119,12
Nicholas,2848,7
Nicholas,4459,1
Nicholas,1870,31
Nicholas,2379,19
Nicholas,4210,1
Nicholas,4317,3
Nicholas,393,1
Nicholas,4433,17
Nicholas,6042,2
Nicholas,254,48
Nicholas,2724,19
Nicholas,5168,1
Nicholas,7179,1
Nicholas,5116,1
Nicholas,2428,48
$,$,$
Gio GIo,6669,3
Gio GIo,2499,4
Gio GIo,2061,1
Gio GIo,2764,234
Gio GIo,6164,1
Gio GIo,7071,15
Gio GIo,184,1
Gio GIo,6666,7
Gio GIo,5422,1
Gio GIo,6010,9
Gio GIo,5562,45
Gio GIo,536,46
Gio GIo,6252,6
Gio GIo,449,5
Gio GIo,6632,1
Gio GIo,5885,14
Gio GIo,1852,1
Gio GIo,2120,20
Gio GIo,5831,10
Gio GIo,5833,9
Gio GIo,4734,15
Gio GIo,5877,7
Gio GIo,2815,1
Gio GIo,4312,43
Gio GIo,4867,1
$,$,$
Simone,5995,1
Simone,6643,1
Simone,7129,4
Simone,6314,26
Simone,6572,46
Simone,5544,170
Simone,4220,13
Simone,4870,1
Simone,4186,1
Simone,2077,2
Simone,827,3
Simone,5844,3
Simone,5685,23
Simone,6458,1
Simone,4751,1
Simone,4378,1
Simone,5526,1
Simone,5862,1
Simone,2188,1
Simone,4994,2
Simone,5022,1
Simone,4976,13
Simone,6125,1
Simone,5841,40
Simone,4236,1
$,$,$
Nico,505,1
Nico,6895,5
Nico,2489,1
Nico,6519,10
Nico,4871,174
Nico,4730,43
Nico,5719,1
Nico,632,56
Nico,4465,1
Nico,5888,6
Nico,6549,1
Nico,6106,11
Nico,6218,3
Nico,2194,34
Nico,4772,22
Nico,5835,2
Nico,6766,5
Nico,2296,16
Nico,2160,34
Nico,5514,8
Nico,6013,1
Nico,6047,5
Nico,4431,30
Nico,2722,1
Nico,133,27
$,$,$
Raffaele,2038,5
Raffaele,2137,4
Raffaele,2531,4
Raffaele,6675,9
Raffaele,6060,27
Raffaele,2841,58
Raffaele,2517,66
Raffaele,22,1
Raffaele,5589,23
Raffaele,6831,21
Raffaele,4199,12
Raffaele,4892,17
Raffaele,4947,1
Raffaele,152,1
Raffaele,787,1
Raffaele,5603,1
Raffaele,2788,20
Raffaele,4137,1
Raffaele,6485,2
Raffaele,7175,5
Raffaele,5620,30
Raffaele,5678,4
Raffaele,158,1
Raffaele,6184,1
Raffaele,2521,31
$,$,$
Enzo,7128,1
Enzo,4359,7
Enzo,5637,6
Enzo,4436,1
Enzo,6145,8
Enzo,4510,75
Enzo,7070,20
Enzo,4777,86
Enzo,2606,20
Enzo,795,1
Enzo,6884,40
Enzo,5559,12
Enzo,7135,8
Enzo,5319,7
Enzo,5520,40
Enzo,5513,40
Enzo,2593,10
Enzo,6965,2
Enzo,5449,1
Enzo,5353,1
Enzo,6814,10
Enzo,5273,9
Enzo,2845,1
Enzo,572,42
Enzo,2170,25
